2025-10-23 02:35:12 [ERR] [TApp.Handlers.UILogNotificationHandler] 侧板自动拧紧: TCP : Error receiving Data：OsSockerError=5;IsoTcpError=None;S7Error=0
   在 VisDummy.Protocols.侧板自动拧紧.侧板自动拧紧Scanner.<GetDevMsgAsync>d__6.MoveNext() 位置 D:\MES\Code\Src\VisDummy.Protocols\侧板自动拧紧\PlcScanner.cs:行号 39
--- 引发异常的上一位置中堆栈跟踪的末尾 ---
   在 System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   在 StdUnit.Sharp7.Options.S7PlcScanner`2.<RunAsync>d__17.MoveNext()
2025-10-23 13:54:51 [WRN] [StdUnit.Sharp7.Options.S7PlcScanner] [!] PLC=[侧板自动拧紧]{ MST信号为空，将从PLC重新读取...}
2025-10-23 13:54:51 [WRN] [StdUnit.Sharp7.Options.S7PlcScanner] [-] PLC=[侧板自动拧紧] MST信号已从PLC恢复
2025-10-23 13:55:15 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 13:55:20 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 13:55:35 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:2;Batch:0;
2025-10-23 13:55:44 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:E:\存图\下箱体定位引导\20251023//拍照2/渲染图/NG\202510\20251023
2025-10-23 13:56:23 [FTL] [TApp.Handlers.UILogNotificationHandler] 操作日志：已登录
2025-10-23 13:57:31 [WRN] [StdUnit.Sharp7.Options.S7PlcScanner] [!] PLC=[侧板自动拧紧]{ MST信号为空，将从PLC重新读取...}
2025-10-23 13:57:31 [WRN] [StdUnit.Sharp7.Options.S7PlcScanner] [-] PLC=[侧板自动拧紧] MST信号已从PLC恢复
2025-10-23 13:58:13 [FTL] [TApp.Handlers.UILogNotificationHandler] 操作日志：已登录
2025-10-23 14:05:02 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:05:05 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:05:05 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:1;Batch:0;
2025-10-23 14:05:07 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:E:\存图\下箱体定位引导\20251023//拍照1/渲染图/NG
2025-10-23 14:05:59 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:06:04 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:06:04 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:3;Batch:0;
2025-10-23 14:06:06 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:
2025-10-23 14:06:49 [FTL] [TApp.Handlers.UILogNotificationHandler] 操作日志：已登录
2025-10-23 14:07:29 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:08:16 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:08:16 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:1;Batch:0;
2025-10-23 14:08:17 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:E:\存图\下箱体定位引导\20251023//拍照1/渲染图/NG
2025-10-23 14:08:18 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:08:23 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:08:23 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:2;Batch:0;
2025-10-23 14:08:24 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:E:\存图\下箱体定位引导\20251023//拍照2/渲染图/NG\202510\20251023
2025-10-23 14:13:49 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:13:54 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:13:54 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:2;Batch:0;
2025-10-23 14:13:55 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:E:\存图\下箱体定位引导\20251023//拍照2/渲染图/NG\202510\20251023
2025-10-23 14:17:14 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:22:52 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:22:52 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:3;Batch:0;
2025-10-23 14:22:54 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:
2025-10-23 14:25:01 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:25:06 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:25:06 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:4;Batch:0;
2025-10-23 14:25:07 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:
2025-10-23 14:33:31 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:38:26 [FTL] [TApp.Handlers.UILogNotificationHandler] 操作日志：已登录
2025-10-23 14:40:08 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:40:08 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:1;Batch:0;
2025-10-23 14:40:09 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:E:\存图\下箱体定位引导\20251023//拍照1/渲染图/OK
2025-10-23 14:40:10 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:40:15 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:40:15 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:2;Batch:0;
2025-10-23 14:40:16 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:E:\存图\下箱体定位引导\20251023//拍照2/渲染图/OK\202510\20251023
2025-10-23 14:40:52 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:41:24 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:41:24 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:3;Batch:0;
2025-10-23 14:41:25 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:
2025-10-23 14:41:26 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:41:29 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:41:29 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:4;Batch:0;
2025-10-23 14:41:30 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：拍照成功：ImagePath:
2025-10-23 14:42:02 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：初始化
2025-10-23 14:42:39 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:收到PLC拍照请求
2025-10-23 14:42:39 [INF] [TApp.Handlers.UILogNotificationHandler] 正常工作拍照1：正常工作拍照1:视觉输入参数：Function:2;Position:5;Batch:0;
